Theory,Parameter,Scale,uy [m],theta_z [rad],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
eb,F,0.1,3.801573958062709e-05,5.702360937094063e-05,3.0,6.503384051379256e-09,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,0.16681005372000587,6.341407561650159e-05,9.512111342475236e-05,2.9999999999999996,1.8096052438329206e-08,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,0.2782559402207124,0.00010578105360193143,0.00015867158040289712,2.9999999999999996,5.0353340855106095e-08,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,0.46415888336127786,0.00017645343233897002,0.00026468014850845504,2.9999999999999996,1.4011116202891562e-07,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,0.774263682681127,0.0002943420652754301,0.00044151309791314513,3.0,3.8986763125772493e-07,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,1.291549665014884,0.0004909921572065199,0.0007364882358097798,2.9999999999999996,1.0848298429724036e-06,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,2.1544346900318834,0.0008190242811972113,0.0012285364217958167,2.9999999999999996,3.018603479357738e-06,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,3.593813663804626,0.0013662148434449596,0.0020493222651674393,3.0,8.399443493022009e-06,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,5.994842503189409,0.002278983714281232,0.003418475571421847,2.9999999999999996,2.337195046481585e-05,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,F,10.0,0.003801573958062709,0.005702360937094063,3.0,6.503384051379256e-05,1.0000000000000013,1.0000000000000009,-8.250628418918698e-17,2.000000000000001
eb,E,0.1,0.003801573958062709,0.005702360937094062,2.9999999999999996,6.503384051379254e-05,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,0.16681005372000587,0.0022789837142812323,0.0034184755714218485,2.9999999999999996,2.3371950464815865e-05,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,0.2782559402207124,0.0013662148434449603,0.0020493222651674406,3.0,8.39944349302202e-06,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,0.46415888336127786,0.0008190242811972114,0.0012285364217958171,3.0,3.01860347935774e-06,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,0.774263682681127,0.0004909921572065197,0.0007364882358097797,3.0,1.0848298429724032e-06,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,1.291549665014884,0.0002943420652754301,0.0004415130979131451,2.9999999999999996,3.898676312577249e-07,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,2.1544346900318834,0.00017645343233897007,0.0002646801485084551,3.0,1.401111620289157e-07,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,3.593813663804626,0.00010578105360193148,0.00015867158040289722,2.9999999999999996,5.0353340855106154e-08,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,5.994842503189409,6.34140756165016e-05,9.512111342475239e-05,2.9999999999999996,1.809605243832922e-08,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,E,10.0,3.801573958062709e-05,5.702360937094063e-05,3.0,6.503384051379256e-09,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,0.1,0.003801573958062709,0.005702360937094062,2.9999999999999996,6.503384051379254e-05,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,0.16681005372000587,0.0022789837142812323,0.0034184755714218485,2.9999999999999996,2.3371950464815865e-05,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,0.2782559402207124,0.0013662148434449603,0.00204932226516744,2.9999999999999996,8.399443493022016e-06,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,0.46415888336127786,0.0008190242811972114,0.001228536421795817,2.9999999999999996,3.018603479357739e-06,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,0.774263682681127,0.0004909921572065198,0.0007364882358097797,2.9999999999999996,1.0848298429724032e-06,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,1.291549665014884,0.0002943420652754301,0.0004415130979131452,3.0,3.8986763125772504e-07,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,2.1544346900318834,0.00017645343233897007,0.0002646801485084551,3.0,1.401111620289157e-07,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,3.593813663804626,0.00010578105360193146,0.00015867158040289722,3.000000000000001,5.0353340855106154e-08,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,5.994842503189409,6.34140756165016e-05,9.512111342475239e-05,2.9999999999999996,1.809605243832922e-08,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,I,10.0,3.801573958062709e-05,5.702360937094063e-05,3.0,6.503384051379256e-09,-1.0000000000000004,-1.0,-2.7502094729728996e-17,-1.9999999999999996
eb,L,0.1,3.80157395806271e-07,5.702360937094064e-06,3.0,6.503384051379258e-11,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,0.16681005372000587,1.7645343233897007e-06,1.5867158040289716e-05,2.9999999999999996,5.035334085510611e-10,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,0.2782559402207124,8.19024281197211e-06,4.4151309791314513e-05,2.9999999999999996,3.89867631257725e-09,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,0.46415888336127786,3.801573958062708e-05,0.00012285364217958167,2.9999999999999996,3.018603479357738e-08,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,0.774263682681127,0.00017645343233897,0.00034184755714218476,2.9999999999999996,2.3371950464815856e-07,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,1.291549665014884,0.0008190242811972117,0.0009512111342475241,3.0,1.8096052438329225e-06,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,2.1544346900318834,0.003801573958062707,0.0026468014850845496,3.0,1.4011116202891554e-05,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,3.593813663804626,0.017645343233896982,0.007364882358097791,3.0,0.00010848298429724015,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,5.994842503189409,0.08190242811972107,0.02049322265167439,3.0,0.0008399443493022007,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
eb,L,10.0,0.3801573958062709,0.05702360937094063,2.9999999999999996,0.006503384051379256,3.0000000000000004,2.000000000000001,-8.250628418918698e-17,4.0
