Row,Col,K Value
0,0,200000000000.00003
0,6,-200000000000.00003
1,1,560011200000000.1
1,5,320006400000000.06
1,7,-560011200000000.1
1,11,240004800000000.06
2,2,2240011200000000.2
2,4,-1280006400000000.2
2,8,-2240011200000000.2
2,10,-960004800000000.0
3,3,65653780.50000002
3,9,-65653780.50000002
4,2,-1280006400000000.2
4,4,746670400000000.0
4,8,1280006400000000.2
4,10,533336000000000.06
5,1,320006400000000.06
5,5,186670400000000.1
5,7,-320006400000000.06
5,11,133336000000000.05
6,0,-200000000000.00003
6,6,200000000000.00003
7,1,-560011200000000.1
7,5,-320006400000000.06
7,7,560011200000000.1
7,11,-240004800000000.06
8,2,-2240011200000000.2
8,4,1280006400000000.2
8,8,2240011200000000.2
8,10,960004800000000.0
9,3,-65653780.50000002
9,9,65653780.50000002
10,2,-960004800000000.0
10,4,533336000000000.06
10,8,960004800000000.0
10,10,426668800000000.06
11,1,240004800000000.1
11,5,133336000000000.05
11,7,-240004800000000.1
11,11,106668800000000.02
